location,label,set
utils\data\scanned\train\scientific report\scientific report_0.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_1.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_2.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_3.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_4.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_5.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_6.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_7.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_8.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_9.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_10.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_11.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_12.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_13.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_14.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_15.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_16.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_17.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_18.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_19.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_20.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_21.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_22.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_23.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_24.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_25.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_26.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_27.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_28.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_29.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_30.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_31.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_32.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_33.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_34.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_35.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_36.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_37.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_38.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_39.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_40.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_41.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_42.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_43.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_44.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_45.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_46.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_47.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_48.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_49.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_50.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_51.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_52.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_53.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_54.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_55.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_56.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_57.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_58.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_59.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_60.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_61.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_62.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_63.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_64.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_65.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_66.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_67.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_68.png,scientific report,train
utils\data\scanned\train\scientific report\scientific report_69.png,scientific report,train
utils\data\scanned\test\scientific report\scientific report_0.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_1.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_2.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_3.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_4.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_5.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_6.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_7.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_8.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_9.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_10.png,scientific report,test
